LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
selesai bercerita, mintalah anak Anda bercerita sebuah kisah yang ingin dia	ceritakan	. Proses ini akan membangun kedekatan antara anak dan orang tua sekaligus m	Populer	dia	pronomina	TRUE	
berusia satu tahun, jadi saya tidak tahu apa yang sedang terjadi. Ini saya	ceritakan	dari apa yang dikisahkan oleh Nek Mun.	Cerpen	saya	pronomina	FALSE	
edy. Tragedy plus time is comedy. Semakin susah hidup kita dulu, kalau kita	ceritakan	saat ini, maka bukannya orang akan bersimpati, tapi malah ketawa.	Majalah				
n kepadaku? Ya, Kakek pernah mengatakannya, ia bilang dongeng itu khusus ia	ceritakan	kepadaku. Meskipun aku pernah bertanya kenapa Kakek tidak berniat menjadik	Cerpen	ia	pronomina	FALSE	
teri berlangsung, pertanyaan-pertanyaan apa saja yang peserta tanyakan. Dia	ceritakan	semuanya. Aku terdiam, menikmati binar mata dan senyum girang yang tak ada	Cerpen				
ng pernah kau	ceritakan	. (3) Sepulang sekolah tadi, di dekat taman, aku melihat sepasang kupu-kupu	Buku_Teks	kau	pronomina	TRUE	
saat ia sedang ramah begitu, kepada siapa saja yang mau mendengar, akan ia	ceritakan	bahwa mendiang ibunya sering menceritakan nenek moyang mereka berasal dari	Cerpen	ia	pronomina	FALSE	
. Tentang perjuangan untuk mendapatkan kepercayaan bank pada saya akan saya	ceritakan	di bab khusus. Itu merupakan kunci sukses tersendiri bagi para pengusaha.	Biografi	saya	pronomina	FALSE	
“Sudah, kamu	ceritakan	"apa pun tanpa batas saat SMP dulu, yang norak-norak sekalian,"""" jawab saya."	Biografi				
na belum dikaruniai anak. Segera saya menjawab lewat surat elektronik. Saya	ceritakan	bahwa saat ini di Indonesia sudah terbit UU Kewarganegaraan yang baru tahu	Populer				
tersebut penuh dengan dinamika. Diantara pengalaman itu ada yang bisa kita	ceritakan	dengan kebanggaan, ada pula sebagian yang masih harus kita benahi. Dalam h	Laman_Resmi	kita	pronomina	TRUE	
Dia	ceritakan	, bahwa desa R di zaman dahulu adalah tempat pertapaan tokoh- pewayangan da	Cerpen				
"perasaan dan emosi yang ada. """"Kawan-kawan menjadi meyakini apa yang Natsir"	ceritakan	". Mereka bersedia membantu Natsir dan mengikutinya,"""" tulis Roem dalam tulis"	Biografi	Natsir	nomina_diri	TRUE	
"an setelah Anthony terlihat nyaman. """"Memang harus demikian, supaya bisa dia"	ceritakan	"semuanya,"""" ujar seorang komisioner KPAI kepada Tempo, Selasa pekan lalu. I"	Majalah				
n bicara, setelah menyusun teks tersebut, secara mandiri teks tersebut kamu	ceritakan	di depan kelas. Kamu perlu meminta tanggapan dan masukan dari teman-temanm	Buku_Teks	kamu	pronomina	FALSE	
ereja yang kamu anggap paling menarik dan paling membosankan? Mengapa? Coba	ceritakan	kepada teman-teman kamu.	Buku_Teks				
saya pulang. Saya	ceritakan	pada istri saya apa yang sudah saya lakukan. Saya kira saya akan dapat puj	Buku_Teks				
an. Tetapi ternyata istri saya bengong. Ia tak percaya dengan apa yang saya	ceritakan	. Dan ketika kesadarannya turun kembali, matanya melotot dan saya dibentak	Buku_Teks	saya	pronomina	TRUE	
misalnya: Ira mau nulis surat (seharusnya Ira mau menulis surat), Saya akan	ceritakan	soal Kancil (seharusnya Saya akan menceritakan tentang Kancil).	Disertasi_Tesis_Skripsi				
at dan	ceritakan	kepada orang tuamu mengapa kamu membuat kartu/tulisan tersebut.	Buku_Teks				
ya pun memiliki beberapa kenalan rekan guru BK SMP, seperti yang sudah saya	ceritakan	di atas.	Populer	saya	pronomina	TRUE	
"a, """"Kenapa tengah malam begini masih di jalan, di pinggir hutan?"""" Lalu saya"	ceritakan	apa yang saya alami. Tentara yang baik hati itu mengantar saya pulang. Kar	Biografi				
belum pernah	ceritakan	.	Majalah				
lamat-lamat mengalir ke telinga Anya, satu-satunya manusia di dunia yang ia	ceritakan	tentang mimpi itu. Anya merasakan denyut jantung di dada Syam, setiap hiru	Cerpen	ia	pronomina	TRUE	
Dan bahwa, namanya menjadi sangat tenar gara-gara pekatik itu. Semua itu ia	ceritakan	tanpa sedikit pun tercium kesan ia rela pekatik-nya dipakai orang lain yan	Novel	ia	pronomina	FALSE	
