ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
191	ber+belas kasih<n>_VSA	belas kasih	emotion-middle-2-participants	n	1
881	ber+kepala<n>_VSA	kepala	reflexive-indirect	n	83
1518	ber+relaksasi<n>_VSA	relaksasi	positionals	n	1
1917	ber+terima<v>_VSA	terima	reflexive-indirect-middle	v	194
1001	ber+kreasi<n>_VSA	kreasi	reflexive-indirect-middle	n	192
605	ber+guru<n>_VSA	guru	reflexive-indirect-middle	n	63
1740	ber+sinambung<v>_VSA	sinambung	reciprocal-chaining	v	1
2001	ber+ujar<v>_VSA	ujar	emotion-middle-speech-action	v	77
1672	ber+senam<n>_VSA	senam	body-actions-others	n	1
998	ber+korupsi<n>_VSA	korupsi	reflexive-indirect-middle	n	3
1320	ber+pawai<n>_VSA	pawai	reciprocal-chaining	n	6
53	ber+alur<n>_VSA	alur	non-trans-mot	n	13
677	ber+ikhtiar<n>_VSA	ikhtiar	intentional	n	17
133	ber+bahtera<n>_VSA	bahtera	translational-motion	n	1
742	ber+jajar<n>_VSA	jajar	reciprocal-chaining	n	88
2057	ber+wawasan<n>_VSA	wawasan	cognition-middle	n	171
651	ber+hipotesis<n>_VSA	hipotesis	cognition-middle	n	7
689	ber+imbang<n>_VSA	imbang	reciprocal-naturally-reciprocal-events	n	87
685	ber+imaji<n>_VSA	imaji	cognition-middle	n	1
1950	ber+tiup<v>_VSA	tiup	spontaneous-events-motion	v	88
1463	ber+punggung<n>_VSA	punggung	reflexive-indirect	n	1
102	ber+asosiatif<a>_VSA	asosiatif	reciprocal-collective-group-actions	a	1
1779	ber+suara<n>_VSA	suara	emotion-middle-speech-action	n	221
2064	ber+wisata<n>_VSA	wisata	translational-motion	n	94
18	ber+air<n>_VSA	air	spontaneous-events-inanimate-being-psychochemical-change	n	77
135	ber+baik<a>_VSA	baik	emotion-middle-2-participants	a	48
670	ber+identitas<n>_VSA	identitas	reflexive-indirect	n	14
1651	ber+selisih<n>_VSA	selisih	reciprocal-naturally-reciprocal-events	n	66
119	ber+ayun<v>_VSA	ayun	non-trans-mot	v	25
1832	ber+tamu<n>_VSA	tamu	translational-motion	n	90
507	ber+gelantung<v>_VSA	gelantung	positionals	v	1
879	ber+kening<n>_VSA	kening	reflexive-indirect	n	1
619	ber+hantam<v>_VSA	hantam	reciprocal-naturally-reciprocal-events	v	1
359	ber+dentum<n>_VSA	dentum	spontaneous-inanimate-state/activity-AUDITORY	n	199
1956	ber+tolakbelakang<n>_VSA	tolakbelakang	reciprocal-naturally-reciprocal-events	n	1
377	ber+destar<n>_VSA	destar	grooming	n	2
812	ber+kampanye<n>_VSA	kampanye	reciprocal-collective-group-actions	n	73
1617	ber+sayap<n>_VSA	sayap	reflexive-indirect	n	69
1509	ber+refleksi<n>_VSA	refleksi	spontaneous-inanimate-state/activity-TACTILE	n	1
1745	ber+singgung<v>_VSA	singgung	reciprocal-naturally-reciprocal-events	v	1
1678	ber+senda<n>_VSADASHgurau<v>_VSA	senda	emotion-middle-speech-action	n	1
1263	ber+opini<n>_VSA	opini	emotion-middle-speech-action	n	5
286	ber+cerai<v>_VSA	cerai	reciprocal-naturally-reciprocal-events	v	154
414	ber+duri<n>_VSA	duri	reflexive-indirect	n	45
183	ber+bedak<n>_VSA	bedak	grooming	n	8
857	ber+kelamin<n>_VSA	kelamin	reflexive-indirect	n	10
1596	ber+sanggama<n>_VSA	sanggama	body-actions-others	n	18
493	ber+ganti<v>_VSA	ganti	spontaneous-events-object-specific-general	v	677
